name,platforms,genres,publishers
Heroes of Order & Chaos - Multiplayer Online Game,iOS,RPG||Strategy,Gameloft
Rollercoaster Dreams,PlayStation 4,,
Great Big War Game,Android||PC||iOS,RPG||Strategy||Indie,Rubicon Mobile||Rubicon Development
Spirit,PC||iOS,Action||Adventure||Simulation||Arcade||Casual||Massively Multiplayer||Indie,Marco Mazzoli||Nylund Games||.Life Gaming Studio
geoDefense,iOS,Action||Arcade,Critical Thought Games
Stern Pinball Arcade,iOS||PC||Xbox One||PlayStation 4||Nintendo Switch,Simulation||Arcade||Casual,FarSight Studios
Terra Noctis,iOS,Action||Adventure,
Super Blast Deluxe,PS Vita||PlayStation 4,,
Combat Monsters,iOS||Android||PC,Action||RPG||Strategy||Card||Indie,Rubicon Mobile||Rubicon Development
GT Racing 2: The Real Car Experience,iOS||Android,Sports||Racing,Gameloft
Motor Strike: Immortal Legends,PlayStation 4,Action||Racing,
Don Bradman Cricket 17,PC||Xbox One||PlayStation 4,Simulation||Sports,Big Ant Studios||Home Entertainment Suppliers
Plasma Sky - a rad retro arcade space shooter,iOS,Action||Arcade||Casual,John Dunbar
Fat City,Nintendo Switch||PC||Wii U||Xbox One||PS Vita||PlayStation 4,Strategy||Casual||Indie,Heavy Iron Studios
Zodiac: Orcanon Odyssey,iOS,Adventure||RPG,Kobojo
Eclipse: New Dawn for the Galaxy,PC||macOS||iOS,Strategy||Board Games||Indie,"Big Daddy's Creations, Wspolnik||Big Daddy's Creations"
EpicWin,iOS,,supermono
Crusade Of Destiny,iOS||Android,Adventure||RPG,DVide Arts
Lunar Silver Star Story Touch,iOS,Adventure||RPG,SoMoGa
Magnet Knights,PlayStation 4,Action,
Spider: The Secret of Bryce Manor,Android||iOS,Action||Adventure,Tiger Style Games
Starship Disco,PC||PlayStation 4,Action||Arcade||Indie,Solus Games
Sky Gamblers: Storm Raiders,iOS||Android||macOS||PC||Linux||Nintendo Switch,Action||Simulation||Arcade||Indie,Atypical Games
Drive Drive Drive,PlayStation 4,Racing,
Isotope: A Space Shooter,iOS,Action||Arcade,Affogato
Kingturn RPG,Android||iOS,RPG||Strategy||Arcade,Niels Baumann
1-bit Ninja,iOS,Action||Arcade,kode80
Perfect,PC||PlayStation 4,Strategy||Simulation||Casual||Indie,nDreams||WEIPUYU
Cabals: Magic & Battle Cards,macOS||PC||iOS,RPG||Strategy||Card,Kyy Games Oy||Kyy Games
Templar Battleforce RPG Full Game HD,iOS,RPG||Strategy,Trese Brothers
